Unit,Type,Question,Pre Correct,Pre Incorrect,Post Correct,Post Incorrect
2,A,1.A,69,66,94,18
2,A,1.B,65,70,95,16
2,A,1.C,118,17,106,6
2,A,1.D,107,28,106,6
2,A,1.E,121,14,107,5
2,A,1.F,97,38,102,10
2,A,2.A,72,63,98,14
2,A,2.B,69,66,91,21
2,A,3.A,88,47,96,16
2,A,3.B,99,36,105,7
2,A,3.C,88,47,98,14
2,A,3.D,88,47,88,24
2,A,4,14,121,40,72
2,A,5.A,0,135,40,72
2,A,5.B,0,135,36,76
2,A,5.C,0,135,31,81
2,A,5.D,0,135,31,81
2,A,5.E,0,135,31,81
2,A,5.F,0,135,31,81
2,A,5.G,0,135,31,81
2,A,5.H,0,135,30,82
2,A,5.I,0,135,30,82
2,A,5.J,0,135,35,77
2,A,5.K,0,135,35,77
2,A,6.A,46,89,46,66
2,A,6.B,3,132,27,85
2,A,7.A,29,106,55,57
2,A,7.B,27,108,55,57
2,A,8.A,14,121,49,63
2,A,8.B,2,133,28,84
2,B,1.A,64,61,100,17
2,B,1.B,66,59,103,14
2,B,1.C,102,23,115,2
2,B,1.D,93,32,110,7
2,B,1.E,115,10,108,9
2,B,1.F,90,35,111,6
2,B,2.A,64,61,87,30
2,B,2.B,56,69,96,21
2,B,3.A,84,41,101,16
2,B,3.B,99,26,99,18
2,B,3.C,90,35,95,22
2,B,3.D,103,22,102,15
2,B,4,23,102,49,68
2,B,5.A,0,125,42,75
2,B,5.B,1,124,39,78
2,B,5.C,0,125,32,85
2,B,5.D,0,125,32,85
2,B,5.E,4,121,32,85
2,B,5.F,2,123,32,85
2,B,5.G,0,125,32,85
2,B,5.H,0,125,32,85
2,B,5.I,0,125,32,85
2,B,5.J,0,125,36,81
2,B,5.K,0,125,36,81
2,B,6.A,59,66,76,41
2,B,6.B,10,115,35,82
2,B,7.A,28,97,51,66
2,B,7.B,25,100,51,66
2,B,8.A,22,103,50,67
2,B,8.B,9,116,36,81
4,A,1.A,82,41,113,17
4,A,1.B,79,44,111,19
4,A,1.C,77,46,114,16
4,A,1.D,42,81,67,62
4,A,1.E,38,85,69,61
4,A,1.F,44,79,77,53
4,A,2.A,66,56,94,36
4,A,2.B,59,64,94,36
4,A,3.A,33,89,72,58
4,A,3.B,31,92,67,63
4,A,3.C,51,72,93,37
4,A,3.D,49,74,92,38
4,A,3.E,48,75,91,39
4,A,3.F,42,80,90,40
4,A,3.G,12,111,59,71
4,A,3.H,30,93,68,62
4,A,3.I,43,80,77,53
4,A,3.J,21,102,67,63
4,A,4.A,52,70,67,63
4,A,4.B,56,66,60,70
4,A,5.A,50,73,75,55
4,A,5.B,17,105,28,102
4,B,1.A,81,44,112,14
4,B,1.B,83,42,110,16
4,B,1.C,74,51,113,13
4,B,1.D,29,96,59,67
4,B,1.E,31,94,74,52
4,B,1.F,40,85,88,38
4,B,2.A,64,61,90,36
4,B,2.B,57,68,84,42
4,B,3.A,31,94,78,48
4,B,3.B,34,91,72,54
4,B,3.C,62,63,98,28
4,B,3.D,64,61,99,27
4,B,3.E,63,62,96,30
4,B,3.F,53,72,76,50
4,B,3.G,14,111,68,58
4,B,3.H,31,94,71,55
4,B,3.I,36,89,78,48
4,B,3.J,22,103,69,57
4,B,4.A,53,72,71,55
4,B,4.B,60,65,62,64
4,B,5.A,49,76,84,42
4,B,5.B,18,107,27,99
