Unit,Condition,Question,Pre Correct,Pre Incorrect,Post Correct,Post Incorrect
2,tablet,1.A,83,87,144,24
2,tablet,1.B,86,84,144,23
2,tablet,1.C,138,32,162,6
2,tablet,1.D,128,42,157,11
2,tablet,1.E,154,16,154,14
2,tablet,1.F,117,53,157,11
2,tablet,2.A,82,88,132,36
2,tablet,2.B,73,97,134,34
2,tablet,3.A,109,61,140,28
2,tablet,3.B,122,48,148,20
2,tablet,3.C,113,57,138,30
2,tablet,3.D,122,48,140,28
2,tablet,4,19,151,61,107
2,tablet,5.A,0,170,61,107
2,tablet,5.B,0,170,56,112
2,tablet,5.C,0,170,44,124
2,tablet,5.D,0,170,44,124
2,tablet,5.E,1,169,44,124
2,tablet,5.F,2,168,44,124
2,tablet,5.G,0,170,44,124
2,tablet,5.H,0,170,44,124
2,tablet,5.I,0,170,46,122
2,tablet,5.J,0,170,55,113
2,tablet,5.K,0,170,54,114
2,tablet,6.A,70,100,88,80
2,tablet,6.B,7,163,48,120
2,tablet,7.A,27,143,72,96
2,tablet,7.B,24,146,73,95
2,tablet,8.A,16,154,68,100
2,tablet,8.B,6,164,41,127
2,paper,1.A,50,39,72,13
2,paper,1.B,45,44,76,9
2,paper,1.C,82,7,81,4
2,paper,1.D,72,17,82,3
2,paper,1.E,81,8,82,3
2,paper,1.F,69,20,81,4
2,paper,2.A,53,36,74,11
2,paper,2.B,51,38,75,10
2,paper,3.A,62,27,79,6
2,paper,3.B,75,14,76,9
2,paper,3.C,64,25,76,9
2,paper,3.D,68,21,72,13
2,paper,4,17,72,37,48
2,paper,5.A,0,89,24,61
2,paper,5.B,1,88,23,62
2,paper,5.C,0,89,21,64
2,paper,5.D,0,89,21,64
2,paper,5.E,3,86,21,64
2,paper,5.F,0,89,21,64
2,paper,5.G,0,89,21,64
2,paper,5.H,0,89,20,65
2,paper,5.I,0,89,19,66
2,paper,5.J,0,89,19,66
2,paper,5.K,0,89,18,67
2,paper,6.A,35,54,40,45
2,paper,6.B,6,83,16,69
2,paper,7.A,30,59,45,40
2,paper,7.B,28,61,44,41
2,paper,8.A,20,69,37,48
2,paper,8.B,5,84,26,59
4,tablet,1.A,105,54,145,19
4,tablet,1.B,108,51,146,18
4,tablet,1.C,96,63,142,22
4,tablet,1.D,45,114,83,81
4,tablet,1.E,43,116,92,72
4,tablet,1.F,51,108,101,63
4,tablet,2.A,86,73,116,48
4,tablet,2.B,75,83,111,53
4,tablet,3.A,43,115,97,67
4,tablet,3.B,44,115,92,72
4,tablet,3.C,70,89,124,40
4,tablet,3.D,70,89,123,41
4,tablet,3.E,69,90,119,45
4,tablet,3.F,58,101,100,64
4,tablet,3.G,15,144,81,83
4,tablet,3.H,36,123,88,76
4,tablet,3.I,51,108,100,64
4,tablet,3.J,23,136,91,73
4,tablet,4.A,63,95,77,87
4,tablet,4.B,73,85,69,95
4,tablet,5.A,58,101,104,60
4,tablet,5.B,19,139,24,140
4,paper,1.A,56,30,75,13
4,paper,1.B,53,33,70,18
4,paper,1.C,53,33,78,9
4,paper,1.D,24,62,41,46
4,paper,1.E,24,62,47,41
4,paper,1.F,30,56,61,27
4,paper,2.A,40,45,66,22
4,paper,2.B,37,49,65,23
4,paper,3.A,19,67,50,38
4,paper,3.B,19,67,43,45
4,paper,3.C,42,44,63,25
4,paper,3.D,42,44,64,24
4,paper,3.E,40,45,64,24
4,paper,3.F,35,50,61,27
4,paper,3.G,9,77,43,45
4,paper,3.H,23,63,47,41
4,paper,3.I,26,60,51,37
4,paper,3.J,18,68,42,46
4,paper,4.A,42,44,57,30
4,paper,4.B,43,43,50,38
4,paper,5.A,40,46,52,36
4,paper,5.B,15,71,28,60
